"Per capita personal income 2/ (dollars)","FIPS","AreaName","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962" 
"3","00","United States",1106 ,1194 ,1235 ,1254 ,1317 ,1425 ,1382 ,1503 ,1667 ,1751 ,1826 ,1810 ,1906 ,2013 ,2087 ,2108 ,2206 ,2268 ,2326 ,2439 
"3","01","Alabama",655 ,735 ,781 ,749 ,797 ,872 ,827 ,904 ,1040 ,1102 ,1156 ,1131 ,1269 ,1352 ,1416 ,1453 ,1508 ,1539 ,1567 ,1644 
"3","02","Alaska",(NA) ,(NA) ,(NA) ,(NA) ,(NA) ,(NA) ,(NA) ,2401 ,2825 ,2586 ,2510 ,2305 ,2282 ,2463 ,2335 ,2495 ,2646 ,3062 ,2932 ,2970 
"3","04","Arizona",1002 ,1046 ,1120 ,1110 ,1176 ,1312 ,1297 ,1360 ,1619 ,1712 ,1713 ,1693 ,1749 ,1850 ,1891 ,1892 ,1976 ,2063 ,2109 ,2173 
"3","05","Arkansas",555 ,681 ,735 ,747 ,730 ,871 ,807 ,840 ,951 ,1021 ,1058 ,1069 ,1172 ,1226 ,1241 ,1304 ,1406 ,1397 ,1502 ,1559 
"3","06","California",1548 ,1582 ,1582 ,1663 ,1682 ,1753 ,1736 ,1871 ,2078 ,2206 ,2248 ,2227 ,2380 ,2497 ,2579 ,2597 ,2739 ,2822 ,2878 ,3002 
"3","08","Colorado",1035 ,1061 ,1184 ,1203 ,1343 ,1439 ,1421 ,1512 ,1789 ,1875 ,1807 ,1766 ,1863 ,1956 ,2101 ,2147 ,2250 ,2331 ,2408 ,2461 
"3","09","Connecticut",1595 ,1601 ,1567 ,1577 ,1696 ,1714 ,1654 ,1884 ,2153 ,2292 ,2388 ,2344 ,2471 ,2681 ,2806 ,2617 ,2711 ,2799 ,2911 ,3039 
"3","10","Delaware",1465 ,1506 ,1525 ,1560 ,1657 ,1675 ,1793 ,2066 ,2148 ,2238 ,2333 ,2297 ,2499 ,2744 ,2637 ,2672 ,2738 ,2817 ,2823 ,2937 
"3","11","District of Columbia",1529 ,1581 ,1661 ,1723 ,1775 ,1954 ,2106 ,2219 ,2325 ,2439 ,2345 ,2344 ,2358 ,2552 ,2607 ,2714 ,2784 ,2802 ,2906 ,3099 
"3","12","Florida",1007 ,1112 ,1172 ,1162 ,1159 ,1196 ,1202 ,1299 ,1383 ,1469 ,1561 ,1555 ,1668 ,1789 ,1833 ,1881 ,2001 ,2016 ,2034 ,2110 
"3","13","Georgia",722 ,828 ,875 ,840 ,879 ,979 ,960 ,1058 ,1199 ,1274 ,1320 ,1295 ,1419 ,1497 ,1519 ,1570 ,1647 ,1685 ,1731 ,1828 
