"Population 1/ (number of persons)","FIPS","AreaName","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964" 
"2","00","United States",143665000 ,146091000 ,148666000 ,151871000 ,153970000 ,156369000 ,158946000 ,161881000 ,165058000 ,168078000 ,171178000 ,174153000 ,177136000 ,179972000 ,182976000 ,185739000 ,188434000 ,191085000 
"2","01","Alabama",2944000 ,2969000 ,3000000 ,3058000 ,3059000 ,3068000 ,3053000 ,3014000 ,3050000 ,3071000 ,3109000 ,3163000 ,3204000 ,3274000 ,3316000 ,3323000 ,3358000 ,3395000 
"2","02","Alaska",(NA) ,(NA) ,(NA) ,135000 ,158000 ,189000 ,205000 ,215000 ,222000 ,224000 ,231000 ,224000 ,224000 ,229000 ,238000 ,246000 ,256000 ,263000 
"2","04","Arizona",652000 ,690000 ,714000 ,756000 ,785000 ,842000 ,894000 ,933000 ,987000 ,1053000 ,1125000 ,1193000 ,1261000 ,1321000 ,1407000 ,1471000 ,1521000 ,1556000 
"2","05","Arkansas",1835000 ,1825000 ,1844000 ,1908000 ,1901000 ,1838000 ,1780000 ,1734000 ,1725000 ,1704000 ,1733000 ,1726000 ,1756000 ,1789000 ,1806000 ,1853000 ,1875000 ,1897000 
"2","06","California",9912000 ,10064000 ,10337000 ,10677000 ,11134000 ,11635000 ,12251000 ,12746000 ,13133000 ,13713000 ,14264000 ,14880000 ,15467000 ,15870000 ,16497000 ,17072000 ,17668000 ,18151000 
"2","08","Colorado",1236000 ,1263000 ,1295000 ,1325000 ,1326000 ,1365000 ,1431000 ,1493000 ,1546000 ,1625000 ,1664000 ,1667000 ,1710000 ,1769000 ,1844000 ,1899000 ,1936000 ,1970000 
"2","09","Connecticut",1969000 ,2014000 ,2032000 ,2016000 ,2028000 ,2081000 ,2168000 ,2249000 ,2300000 ,2316000 ,2359000 ,2446000 ,2523000 ,2544000 ,2586000 ,2647000 ,2727000 ,2798000 
"2","10","Delaware",306000 ,312000 ,316000 ,321000 ,331000 ,341000 ,351000 ,368000 ,389000 ,408000 ,426000 ,433000 ,441000 ,449000 ,461000 ,469000 ,483000 ,497000 
"2","11","District of Columbia",873000 ,840000 ,807000 ,806000 ,808000 ,805000 ,810000 ,791000 ,785000 ,759000 ,763000 ,757000 ,761000 ,765000 ,778000 ,788000 ,798000 ,798000 
"2","12","Florida",2539000 ,2578000 ,2668000 ,2810000 ,2980000 ,3157000 ,3310000 ,3505000 ,3747000 ,4047000 ,4372000 ,4630000 ,4808000 ,5004000 ,5243000 ,5458000 ,5628000 ,5781000 
"2","13","Georgia",3271000 ,3259000 ,3325000 ,3458000 ,3531000 ,3584000 ,3558000 ,3602000 ,3636000 ,3701000 ,3766000 ,3804000 ,3868000 ,3956000 ,4015000 ,4086000 ,4172000 ,4258000 
"2","15","Hawaii 3/",(NA) ,(NA) ,(NA) ,499000 ,502000 ,495000 ,499000 ,504000 ,529000 ,548000 ,573000 ,605000 ,622000 ,642000 ,659000 ,684000 ,682000 ,700000 
"2","16","Idaho",522000 ,551000 ,570000 ,590000 ,589000 ,587000 ,596000 ,600000 ,618000 ,628000 ,642000 ,646000 ,657000 ,671000 ,684000 ,692000 ,683000 ,680000 
"2","17","Illinois",8344000 ,8552000 ,8670000 ,8738000 ,8790000 ,8956000 ,9065000 ,9252000 ,9435000 ,9530000 ,9668000 ,9886000 ,9986000 ,10086000 ,10130000 ,10280000 ,10402000 ,10580000 
"2","18","Indiana",3779000 ,3877000 ,3958000 ,3967000 ,4096000 ,4148000 ,4182000 ,4264000 ,4363000 ,4458000 ,4529000 ,4583000 ,4613000 ,4674000 ,4730000 ,4736000 ,4799000 ,4856000 
"2","19","Iowa",2509000 ,2543000 ,2578000 ,2625000 ,2617000 ,2626000 ,2629000 ,2626000 ,2679000 ,2703000 ,2716000 ,2708000 ,2729000 ,2756000 ,2756000 ,2750000 ,2747000 ,2746000 
"2","20","Kansas",1851000 ,1892000 ,1925000 ,1916000 ,1950000 ,1977000 ,1994000 ,2042000 ,2093000 ,2119000 ,2128000 ,2142000 ,2160000 ,2183000 ,2215000 ,2231000 ,2217000 ,2209000 
"2","21","Kentucky",2802000 ,2817000 ,2849000 ,2936000 ,2941000 ,2920000 ,2903000 ,2902000 ,2910000 ,2898000 ,2928000 ,2961000 ,2999000 ,3041000 ,3054000 ,3079000 ,3096000 ,3129000 
"2","22","Louisiana",2579000 ,2596000 ,2634000 ,2697000 ,2769000 ,2842000 ,2866000 ,2883000 ,2946000 ,3032000 ,3115000 ,3155000 ,3208000 ,3260000 ,3287000 ,3345000 ,3377000 ,3446000 
"2","23","Maine",854000 ,878000 ,903000 ,917000 ,916000 ,915000 ,913000 ,927000 ,934000 ,938000 ,943000 ,944000 ,957000 ,975000 ,995000 ,994000 ,993000 ,993000 
"2","24","Maryland",2256000 ,2271000 ,2329000 ,2355000 ,2441000 ,2500000 ,2567000 ,2685000 ,2742000 ,2811000 ,2873000 ,2982000 ,3066000 ,3113000 ,3176000 ,3263000 ,3386000 ,3492000 
"2","25","Massachusetts",4589000 ,4674000 ,4741000 ,4686000 ,4654000 ,4650000 ,4806000 ,4910000 ,4882000 ,4891000 ,4929000 ,5010000 ,5117000 ,5160000 ,5219000 ,5263000 ,5344000 ,5448000 
"2","26","Michigan",6075000 ,6213000 ,6332000 ,6407000 ,6497000 ,6650000 ,6822000 ,7066000 ,7285000 ,7467000 ,7569000 ,7667000 ,7767000 ,7834000 ,7893000 ,7933000 ,8058000 ,8187000 
"2","27","Minnesota",2796000 ,2868000 ,2935000 ,2997000 ,3010000 ,3030000 ,3050000 ,3113000 ,3172000 ,3240000 ,3274000 ,3313000 ,3366000 ,3425000 ,3470000 ,3513000 ,3531000 ,3558000 
"2","28","Mississippi",2108000 ,2076000 ,2085000 ,2176000 ,2163000 ,2152000 ,2105000 ,2064000 ,2060000 ,2086000 ,2088000 ,2086000 ,2138000 ,2182000 ,2206000 ,2243000 ,2244000 ,2241000 
"2","29","Missouri",3846000 ,3844000 ,3882000 ,3964000 ,4015000 ,3972000 ,4020000 ,4066000 ,4134000 ,4163000 ,4189000 ,4186000 ,4258000 ,4326000 ,4349000 ,4357000 ,4392000 ,4442000 
"2","30","Montana",530000 ,542000 ,569000 ,593000 ,596000 ,602000 ,616000 ,624000 ,636000 ,656000 ,667000 ,666000 ,669000 ,679000 ,696000 ,698000 ,703000 ,706000 
"2","31","Nebraska",1266000 ,1265000 ,1302000 ,1327000 ,1316000 ,1311000 ,1318000 ,1340000 ,1374000 ,1397000 ,1394000 ,1383000 ,1397000 ,1417000 ,1446000 ,1464000 ,1476000 ,1482000 
"2","32","Nevada",149000 ,156000 ,157000 ,162000 ,168000 ,181000 ,195000 ,213000 ,237000 ,250000 ,260000 ,269000 ,279000 ,291000 ,315000 ,352000 ,397000 ,426000 
"2","33","New Hampshire",509000 ,520000 ,533000 ,532000 ,529000 ,535000 ,547000 ,554000 ,557000 ,566000 ,572000 ,581000 ,596000 ,609000 ,618000 ,632000 ,649000 ,663000 
"2","34","New Jersey",4628000 ,4774000 ,4889000 ,4872000 ,5006000 ,5125000 ,5229000 ,5360000 ,5502000 ,5615000 ,5737000 ,5890000 ,6015000 ,6103000 ,6265000 ,6376000 ,6531000 ,6660000 
"2","35","New Mexico",582000 ,604000 ,644000 ,689000 ,717000 ,735000 ,756000 ,763000 ,785000 ,806000 ,847000 ,886000 ,919000 ,954000 ,965000 ,979000 ,989000 ,1006000 
